,ols,ridge,lasso
G2,3.5916286579053733,3.2702262463401617,3.5835598449261075
G1,0.6799188747959487,0.9092802350499144,0.4620612208593015
absences,0.4674620307604808,0.44063996478889583,0.23566817376081878
famrel,0.27844627633250085,0.2698490370793991,0.1904005153326836
schoolsup_yes,0.2719905058175052,0.2796028422281996,0.07272868117791279
reason_home,-0.27031958752614765,-0.24667745887690437,-0.07238830823332873
activities_yes,-0.25874462111251284,-0.24189798314882274,-0.08661238929646736
goout,0.21220717135281952,0.1771174157365248,0.007353557606763412
failures,-0.20988416092906204,-0.21838959456551102,-0.18034900705054038
sex_M,0.18666409206145268,0.17857402941301947,0.0
romantic_yes,-0.18555314459781444,-0.20566182286895973,-0.11067818262964411
Fedu,-0.18022694889731883,-0.17315163133964545,-0.0
Dalc,-0.16729710793099678,-0.14793341960127845,0.0
age,-0.14701881433152472,-0.15961690817521076,-0.06618074494801526
Fjob_services,-0.1297183533634636,-0.10207342662372182,-0.11214756459538054
Mjob_health,-0.12949512961378912,-0.10859472349692344,-0.0
Mjob_other,-0.11299227082358464,-0.0850689303445593,-0.0
Fjob_health,0.105510856493708,0.10422703923771674,0.0
Fjob_other,0.10238997975114711,0.12666766412943076,0.0
famsup_yes,0.09958231740458805,0.08741149063399856,0.0
